epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,429.78,1.17894,2.82252,1.11884,0.00331,0.99225,0.15886,0.07742,1.07963,3.75802,1.03284,0.00056,0.00056,0.00056
2,870.132,1.19347,1.78868,1.0671,0.16877,0.48794,0.15405,0.08115,1.37751,3.85522,1.21046,0.00111743,0.00111743,0.00111743
3,1231.69,1.21673,1.53524,1.08046,0.22034,0.4186,0.14205,0.08951,1.28431,3.5497,1.1566,0.00165189,0.00165189,0.00165189
4,1590.44,1.20357,1.39874,1.0822,0.86177,0.68992,0.79295,0.39748,1.57382,2.26127,1.27717,0.0018812,0.0018812,0.0018812
5,1949.74,1.20903,1.37468,1.10902,0.93065,0.83221,0.93222,0.58071,1.20118,1.62459,1.1067,0.0018416,0.0018416,0.0018416
6,2313.88,1.19,1.18277,1.08428,0.9208,0.90698,0.95687,0.6059,1.21601,1.52015,1.10391,0.001802,0.001802,0.001802
7,4053.39,1.16633,1.10468,1.08559,0.90636,0.97539,0.97818,0.62597,1.19035,1.0598,1.08928,0.0017624,0.0017624,0.0017624
8,4415.61,1.1055,0.93573,1.039,0.95371,0.95833,0.98394,0.6748,0.98534,0.95592,1.01987,0.0017228,0.0017228,0.0017228
9,4780.25,1.08964,0.87423,1.04408,0.96124,0.96116,0.97015,0.65158,1.07765,0.86874,1.04225,0.0016832,0.0016832,0.0016832
10,5206.27,1.0595,0.82885,1.02771,0.95515,0.99048,0.99098,0.68498,1.04731,0.79808,1.03142,0.0016436,0.0016436,0.0016436
