epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,550.228,1.17894,2.82252,1.11884,0.00331,0.99225,0.15886,0.07742,1.07963,3.75802,1.03284,0.00056,0.00056,0.00056
2,1038.7,1.14055,1.74761,1.04644,0.45175,0.51938,0.44281,0.31283,0.97761,3.13121,1.00278,0.0007638,0.0007638,0.0007638
3,1524.5,1.07701,1.44727,1.02474,0.61161,0.84496,0.6637,0.46711,1.05055,2.43435,0.99254,0.0005848,0.0005848,0.0005848
